Date,Eruption,Seismicity,Acidity,Temperature (in Celsius),SO2,Plume (in meters),Ground Deformation
"January 1, 2022",,1,1.59,71.8,6930,,Deflation of TVI and Taal Caldera (movement of the ground on the volcano)
"January 2, 2022",,1,1.59,71.8,6930,500,Deflation of TVI and Taal Caldera (movement of the ground on the volcano)
"January 3, 2022",,0,1.59,71.8,6930,900,Deflation of TVI and Taal Caldera (movement of the ground on the volcano)
"January 4, 2022",,0,1.59,71.8,6159,600,Deflation of TVI and Taal Caldera (since October 2021)
"January 5, 2022",,1,1.59,71.8,6159,,Deflation of TVI and Taal Caldera (since October 2021)
"January 6, 2022",,0,1.59,71.8,7609,1200,Deflation of TVI and Taal Caldera (since October 2021)
"January 7, 2022",,0,1.59,71.8,7609,1500,Deflation of TVI and Taal Caldera (since October 2021)
"January 8, 2022",,0,1.59,71.8,7664,900,Deflation of TVI and Taal Caldera (since October 2021)
"January 9, 2022",,0,1.59,71.8,7664,1200,Deflation of TVI and Taal Caldera (since October 2021)
"January 10, 2022",,1,1.59,71.8,7664,1000,Deflation of TVI and Taal Caldera (since October 2021)
"January 11, 2022",,1,1.59,71.8,7664,1800,Deflation of TVI and Taal Caldera (since October 2021)
"January 12, 2022",,0,1.59,71.8,7664,1500,Deflation of TVI and Taal Caldera (since October 2021)
"January 13, 2022",,1,1.59,71.8,7664,1500,Deflation of TVI and Taal Caldera (since October 2021)
"January 14, 2022",,0,1.59,71.8,9337,1000,Deflation of TVI and Taal Caldera (since October 2021)
"January 15, 2022",,0,1.59,71.8,9337,1200,Deflation of TVI and Taal Caldera (since October 2021)
"January 16, 2022",,0,1.59,71.8,9337,1200,Deflation of TVI and Taal Caldera (since October 2021)
"January 17, 2022",,0,1.59,71.8,9337,1000,Deflation of TVI and Taal Caldera (since October 2021)
"January 18, 2022",,0,1.59,71.8,9486,1500,Deflation of TVI and Taal Caldera (since October 2021)
"January 19, 2022",,1,1.59,71.8,9486,600,Deflation of TVI and Taal Caldera (since October 2021)
"January 20, 2022",,0,1.59,71.8,9486,1200,Deflation of TVI and Taal Caldera (since October 2021)
"January 21, 2022",,0,1.59,71.8,10986,1800,Deflation of TVI and Taal Caldera (since October 2021)
"January 22, 2022",,0,1.59,71.8,10986,2400,Deflation of TVI and Taal Caldera (since October 2021)
"January 23, 2022",,0,1.59,71.8,10986,1200,Deflation of TVI and Taal Caldera (since October 2021)
"January 24, 2022",,0,1.59,71.8,11228,1800,Deflation of TVI and Taal Caldera (since October 2021)
"January 25, 2022",,0,1.59,71.8,11228,1500,Deflation of TVI and Taal Caldera (since October 2021)
"January 26, 2022",,1,1.59,71.8,10506,1500,Deflation of TVI and Taal Caldera (since October 2021)
"January 27, 2022",,0,1.59,71.8,10506,1800,Deflation of TVI and Taal Caldera (since October 2021)
"January 28, 2022",,0,1.59,71.8,18705,2000,Deflation of TVI and Taal Caldera (since October 2021)
"January 29, 2022",,0,1.59,71.8,15633,900,Deflation of TVI and Taal Caldera (since October 2021)
"January 30, 2022",,31,1.59,71.8,10036,2000,Deflation of TVI and Taal Caldera (since October 2021)
"January 31, 2022",,13,1.59,71.8,4829,1000,Deflation of TVI and Taal Caldera (since October 2021)
"February 1, 2022",,8,1.59,71.8,10594,600,Deflation of TVI and Taal Caldera (since October 2021)
"February 2, 2022",,31,1.59,71.8,10594,600,Deflation of TVI and Taal Caldera (since October 2021)
"February 3, 2022",,152,1.59,71.8,7902,900,Deflation of TVI and Taal Caldera (since October 2021)
"February 4, 2022",,2,1.59,71.8,7902,1500,Deflation of TVI and Taal Caldera (since October 2021)
"February 5, 2022",,0,1.59,71.8,7008,900,Deflation of TVI and Taal Caldera (since October 2021)
"February 6, 2022",,0,1.59,71.8,7008,300,Deflation of TVI and Taal Caldera (since October 2021)
"February 7, 2022",,0,1.59,71.8,7008,600,Deflation of TVI and Taal Caldera (since October 2021)
"February 8, 2022",,1,1.59,71.8,7008,1200,Deflation of TVI and Taal Caldera (since October 2021)
"February 9, 2022",,0,1.59,71.8,8686,2000,Deflation of TVI and Taal Caldera (since October 2021)
"February 10, 2022",,0,1.59,71.8,8686,1000,Deflation of TVI and Taal Caldera (since October 2021)
"February 11, 2022",,7,1.59,71.8,10009,1500,Deflation of TVI and Taal Caldera (since October 2021)
"February 12, 2022",,14,1.59,71.8,10009,1500,Deflation of TVI and Taal Caldera (since October 2021)
"February 13, 2022",,4,1.59,71.8,10270,1500,Deflation of TVI and Taal Caldera (since October 2021)
"February 14, 2022",,33,1.59,71.8,10270,1500,Deflation of TVI and Taal Caldera (since October 2021)
"February 15, 2022",,14,1.59,71.8,4225,3000,Deflation of TVI and Taal Caldera (since October 2021)
"February 16, 2022",,0,1.59,71.8,4225,1000,Deflation of TVI and Taal Caldera (since October 2021)
"February 17, 2022",,6,1.59,71.8,2456,900,Deflation of TVI and Taal Caldera (since October 2021)
"February 18, 2022",,17,1.59,71.8,2456,1500,Deflation of TVI and Taal Caldera (since October 2021)
"February 19, 2022",,39,1.59,71.8,6366,1500,Deflation of TVI and Taal Caldera (since October 2021)
"February 20, 2022",,169,1.59,71.8,6366,600,Deflation of TVI and Taal Caldera (since October 2021)
"February 21, 2022",,92,1.59,71.8,6366,600,Deflation of TVI and Taal Caldera (since October 2021)
"February 22, 2022",,35,1.59,71.8,3551,900,Deflation of TVI and Taal Caldera (since October 2021)
"February 23, 2022",,14,1.59,71.8,3551,900,Deflation of TVI and Taal Caldera (since October 2021)
"February 24, 2022",,17,1.59,71.8,4217,1200,Deflation of TVI and Taal Caldera (since October 2021)
"February 25, 2022",,16,1.59,71.8,4217,1200,Deflation of TVI and Taal Caldera (since October 2021)
"February 26, 2022",,0,1.59,63.7,2612,900,Deflation of TVI and Taal Caldera (since October 2021)
"February 27, 2022",,8,1.59,63.7,2612,900,Deflation of TVI and Taal Caldera (since October 2021)
"February 28, 2022",,29,1.59,63.7,2612,600,Deflation of TVI and Taal Caldera (since October 2021)
"March 1, 2022",,14,1.59,63.7,4382,600,Deflation of TVI and Taal Caldera (since October 2021)
"March 2, 2022",,5,1.59,63.7,4382,,Deflation of TVI and Taal Caldera (since October 2021)
"March 3, 2022",,0,1.59,63.7,8158,900,Deflation of TVI and Taal Caldera (since October 2021)
"March 4, 2022",,0,1.59,63.7,8158,600,Deflation of TVI and Taal Caldera (since October 2021)
"March 5, 2022",,3,1.59,63.7,12114,1200,Deflation of TVI and Taal Caldera (since October 2021)
"March 6, 2022",,0,1.59,63.7,12114,600,Deflation of TVI and Taal Caldera (since October 2021)
"March 7, 2022",,0,1.59,63.7,12114,600,Deflation of TVI and Taal Caldera (since October 2021)
"March 8, 2022",,0,1.59,63.7,7695,900,Deflation of TVI and Taal Caldera (since October 2021)
"March 9, 2022",,1,1.59,63.7,7695,1200,Deflation of TVI and Taal Caldera (since October 2021)
"March 10, 2022",,0,1.59,63.7,15990,1200,Deflation of TVI and Taal Caldera (since October 2021)
"March 11, 2022",,8,1.59,63.7,15990,1200,Deflation of TVI and Taal Caldera (since October 2021)
"March 12, 2022",,49,1.59,63.7,15306,"2,400",Deflation of TVI and Taal Caldera (since October 2021)
"March 13, 2022",,25,1.59,63.7,15306,1800,Deflation of TVI and Taal Caldera (since October 2021)
"March 14, 2022",,9,1.59,63.7,14524,2200,Deflation of TVI and Taal Caldera (since October 2021)
"March 15, 2022",,7,1.59,63.7,13818,2400,Deflation of TVI and Taal Caldera (since October 2021)
"March 16, 2022",,0,1.59,63.7,13818,2500,Deflation of TVI and Taal Caldera (since October 2021)
"March 17, 2022",,9,1.59,63.7,21211,2500,Deflation of TVI and Taal Caldera (since October 2021)
"March 18, 2022",,3,,63.7,11584,2500,Deflation of TVI and Taal Caldera (since October 2021)
"March 19, 2022",,12,,63.7,13370,2400,Deflation of TVI and Taal Caldera (since October 2021)
"March 20, 2022",,1,,63.7,13370,2400,Deflation of TVI and Taal Caldera (since October 2021)
"March 21, 2022",,2,,63.7,13370,2000,Deflation of TVI and Taal Caldera (since October 2021)
"March 22, 2022",,47,,63.7,6377,2400,Deflation of TVI and Taal Caldera (since October 2021)
"March 23, 2022",,21,,63.7,6377,900,Deflation of TVI and Taal Caldera (since October 2021)
"March 24, 2022",,0,,63.7,5751,2500,Deflation of TVI and Taal Caldera (since October 2021)
"March 25, 2022",,2,,63.7,5751,1000,Deflation of TVI and Taal Caldera (since October 2021)
"March 26, 2022",,9,,63.7,6957,1200,Deflation of TVI and Taal Caldera (since October 2021)
"March 27, 2022",,14,,63.7,6957,1000,Deflation of TVI and Taal Caldera (since October 2021)
"March 28, 2022",,0,,63.7,1140,1000,Deflation of TVI and Taal Caldera (since October 2021)
"March 29, 2022",,8,,63.7,4273,2400,Deflation of TVI and Taal Caldera (since October 2021)
"March 30, 2022",,4,,63.7,4474,1500,Deflation of TVI and Taal Caldera (since October 2021)
"March 31, 2022",,0,,63.7,6405,1500,Deflation of TVI and Taal Caldera (since October 2021)
"April 1, 2022",,13,,63.7,7856,2000,Deflation of TVI and Taal Caldera (since October 2021)
"April 2, 2022",,36,,63.7,2451,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 3, 2022",,17,,63.7,1232,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 4, 2022",,3,,63.7,470,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 5, 2022",,0,,63.7,265,,Deflation of TVI and Taal Caldera (since October 2021)
"April 6, 2022",,1,,63.7,265,600,Deflation of TVI and Taal Caldera (since October 2021)
"April 7, 2022",,0,,63.7,255,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 8, 2022",,0,,63.7,109,90,Deflation of TVI and Taal Caldera (since October 2021)
"April 9, 2022",,86,,63.7,103,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 10, 2022",,0,,63.7,,,Deflation of TVI and Taal Caldera (since October 2021)
"April 11, 2022",,,,,,,Deflation of TVI and Taal Caldera (since October 2021)
"April 12, 2022",,7,,63.7,,600,Deflation of TVI and Taal Caldera (since October 2021)
"April 13, 2022",,1,,63.7,,600,Deflation of TVI and Taal Caldera (since October 2021)
"April 14, 2022",,0,,63.7,213,"2,800",Deflation of TVI and Taal Caldera (since October 2021)
"April 15, 2022",,0,,63.7,213,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 16, 2022",,0,,63.7,155,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 17, 2022",,0,,63.7,155,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 18, 2022",,2,,63.7,155,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 19, 2022",,6,,63.7,380,15,Deflation of TVI and Taal Caldera (since October 2021)
"April 20, 2022",,2,,63.7,380,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 21, 2022",,4,,63.7,5376,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 22, 2022",,6,,63.7,6042,1500,Deflation of TVI and Taal Caldera (since October 2021)
"April 23, 2022",,0,,63.7,6391,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 24, 2022",,2,,63.7,6391,600,Deflation of TVI and Taal Caldera (since October 2021)
"April 25, 2022",,1,,63.7,6391,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 26, 2022",,9,,63.7,6020,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 27, 2022",,4,,63.7,6020,1200,Deflation of TVI and Taal Caldera (since October 2021)
"April 28, 2022",,3,,66.5,5482,900,Deflation of TVI and Taal Caldera (since October 2021)
"April 29, 2022",,0,,66.5,5482,600,Deflation of TVI and Taal Caldera (since October 2021)
"April 30, 2022",,6,,66.5,12943,900,Deflation of TVI and Taal Caldera (since October 2021)
"May 1, 2022",,0,,66.5,9123,1800,Deflation of TVI and Taal Caldera (since October 2021)
"May 2, 2022",,8,,66.5,9123,1500,Deflation of TVI and Taal Caldera (since October 2021)
"May 3, 2022",,13,,66.5,2301,,Deflation of TVI and Taal Caldera (since October 2021)
"May 4, 2022",,10,,66.5,2301,,Deflation of TVI and Taal Caldera (since October 2021)
"May 5, 2022",,0,,66.5,2259,1200,Deflation of TVI and Taal Caldera (since October 2021)
"May 6, 2022",,4,,66.5,2259,900,Deflation of TVI and Taal Caldera (since October 2021)
"May 7, 2022",,0,,66.5,826,1200,Deflation of TVI and Taal Caldera (since October 2021)
"May 8, 2022",,4,,66.5,826,600,Deflation of TVI and Taal Caldera (since October 2021)
"May 9, 2022",,6,,66.5,826,900,Deflation of TVI and Taal Caldera (since October 2021)
"May 10, 2022",,0,,66.5,826,,Deflation of TVI and Taal Caldera (since October 2021)
"May 11, 2022",,0,,66.5,826,900,Deflation of TVI and Taal Caldera (since October 2021)
"May 12, 2022",,0,,66.5,288,5,Deflation of TVI and Taal Caldera (since October 2021)
"May 13, 2022",,0,,66.5,288,5,Deflation of TVI and Taal Caldera (since October 2021)
"May 14, 2022",,0,,66.5,260,5,Deflation of TVI and Taal Caldera (since October 2021)
"May 15, 2022",,0,,66.5,260,1200,Deflation of TVI and Taal Caldera (since October 2021)
"May 16, 2022",,0,,66.5,260,10,Deflation of TVI and Taal Caldera (since October 2021)
"May 17, 2022",,0,,66.5,143,5,Deflation of TVI and Taal Caldera (since October 2021)
"May 18, 2022",,0,,66.5,143,1500,Deflation of TVI and Taal Caldera (since October 2021)
"May 19, 2022",,0,,66.5,143,1200,Deflation of TVI and Taal Caldera (since October 2021)
"May 20, 2022",,0,,66.5,386,900,Deflation of TVI and Taal Caldera (since October 2021)
"May 21, 2022",,1,,66.5,386,900,Deflation of TVI and Taal Caldera (since October 2021)
"May 22, 2022",,0,,66.5,386,600,Deflation of TVI and Taal Caldera (since October 2021)
"May 23, 2022",,0,,66.5,386,1600,Deflation of TVI and Taal Caldera (since October 2021)
"May 24, 2022",,0,,66.5,382,900,Deflation of TVI and Taal Caldera (since October 2021)
"May 25, 2022",,3,,66.5,382,1800,Deflation of TVI and Taal Caldera (since October 2021)
"May 26, 2022",,0,,66.5,382,2000,Deflation of TVI and Taal Caldera (since October 2021)
"May 27, 2022",,0,,66.5,475,1500,Deflation of TVI and Taal Caldera (since October 2021)
"May 28, 2022",,1,,66.5,475,1800,Deflation of TVI and Taal Caldera (since October 2021)
"May 29, 2022",,0,,66.5,475,2100,Deflation of TVI and Taal Caldera (since October 2021)
"May 30, 2022",,0,,66.5,475,2500,Deflation of TVI and Taal Caldera (since October 2021)
"May 31, 2022",,0,,66.5,1338,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 1, 2022",,0,,66.5,1338,1200,Deflation of TVI and Taal Caldera (since October 2021)
"June 2, 2022",,0,,66.5,1338,"1,800",Deflation of TVI and Taal Caldera (since October 2021)
"June 3, 2022",,0,,66.5,1088,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 4, 2022",,0,,66.5,1088,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 5, 2022",,0,,66.5,1088,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 6, 2022",,0,,66.5,1088,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 7, 2022",,0,,66.5,862,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 8, 2022",,0,,66.5,862,5,Deflation of TVI and Taal Caldera (since October 2021)
"June 9, 2022",,0,,66.5,862,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 10, 2022",,0,,66.5,862,5,Deflation of TVI and Taal Caldera (since October 2021)
"June 11, 2022",,0,,66.5,1994,600,Deflation of TVI and Taal Caldera (since October 2021)
"June 12, 2022",,1,,66.5,1994,2400,Deflation of TVI and Taal Caldera (since October 2021)
"June 13, 2022",,0,,66.5,1994,2400,Deflation of TVI and Taal Caldera (since October 2021)
"June 14, 2022",,0,,66.5,2625,2000,Deflation of TVI and Taal Caldera (since October 2021)
"June 15, 2022",,0,,66.5,2625,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 16, 2022",,0,,66.5,1584,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 17, 2022",,0,,66.5,1584,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 18, 2022",,1,,66.5,1108,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 19, 2022",,0,,66.5,1108,1200,Deflation of TVI and Taal Caldera (since October 2021)
"June 20, 2022",,0,,66.5,1108,500,Deflation of TVI and Taal Caldera (since October 2021)
"June 21, 2022",,0,,66.5,1493,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 22, 2022",,0,,66.5,1493,5,Deflation of TVI and Taal Caldera (since October 2021)
"June 23, 2022",,0,,66.5,1493,600,Deflation of TVI and Taal Caldera (since October 2021)
"June 24, 2022",,0,,66.5,2840,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 25, 2022",,0,,66.5,2840,1200,Deflation of TVI and Taal Caldera (since October 2021)
"June 26, 2022",,0,,66.5,2840,600,Deflation of TVI and Taal Caldera (since October 2021)
"June 27, 2022",,0,,66.5,2840,600,Deflation of TVI and Taal Caldera (since October 2021)
"June 28, 2022",,0,,66.5,2840,1500,Deflation of TVI and Taal Caldera (since October 2021)
"June 29, 2022",,0,,66.5,2840,900,Deflation of TVI and Taal Caldera (since October 2021)
"June 30, 2022",,0,,66.5,1761,1500,Deflation of TVI and Taal Caldera (since October 2021)
"July 1, 2022",,0,,66.5,1761,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 2, 2022",,0,,66.5,1333,900,Deflation of TVI and Taal Caldera (since October 2021)
"July 3, 2022",,0,,66.5,1333,1200,Deflation of TVI and Taal Caldera (since October 2021)
"July 4, 2022",,0,,66.5,1333,900,Deflation of TVI and Taal Caldera (since October 2021)
